Titles,SubTitle,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Employment type,Working Condition,Internship info,Educations,Dates,Job Places,Demands,Responsibilities,Professional skills,Soft skills,Languages
Инженерия және инженерлік іс саласы бойынша  өндірістік оқыту шебері,мастер производственного обучения 0713 Электротехника и энергетика,Білім беру және тәрбиелеу,от 159 627 до 184 155 тг.,«Жетісу облысының білім басқармасы» мемлекеттік мекемесінің «Талдықорған жоғары политехникалық колледжі» шаруашылық жургізу құқығындағы мемлекеттік коммуналдық кәсіпорны,"Жетісу облысы, Талдықорған қ.",1 жыл жұмыс өтілі,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Өндірістік процесті ұйымдастыру;
                                            



                                                Еңбекті қорғау жөніндегі ережелер мен нұсқаулықтарды, қауіпсіздік стандарттарын бақылау;
                                            



                                                Оқу-өндірістік құжаттаманы жүргізу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Шыдамдылық;",
Бас бухгалтер,главный бухгалтер,Қаржы және бухгалтерлік есеп,от 120 000 до 150 000 тг.,"""Атырау облысы Білім беру басқармасының Атырау қаласы білім бөлімінің ""№20 А.Пушкин атындағы мектеп-лицей"" коммуналдық мемлекеттік мекемесі","Атырау облысы, Атырау қ.",2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Есеп, жоспарлау және есептілік;
                                            



                                                Қызметкерлердің қызметін жоспарлау және ұйымдастыру;
                                            



                                                Қызмет түрлері бойынша жоспарлау және бақылау;
                                            



                                                Кәсіпорын қызметінің мониторингі және бағасы;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;","Қазақ / жоғары деңгей
  Орыс / жоғары деңгей"
Бульдозер машинисi,Бульдозерист,"Мұнай, газ, ресурстарды өндіру",от 250 000 до 350 000 тг.,"""Павлодарсоль"" Жауапкершілігі шектеулі серіктестігі","Павлодар облысы, Павлодар қ.",2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,3,,"управлять транспортом, который за ним закреплен;- осуществлять заправку горюче-смазочными материалами;- проверять техническое состояние перед началом работы;- устранять возникающие во время работы мелкие эксплуатационные неисправности, не требующие разборки механизмов;- выполнять регулировочные работы , ежемесячный технический уход, текущий ремонт, участвовать во всех др. видах ремонтаБесплатное питание, бесплатное проживание. Своевременная заработная плата. Вахтовый метод 15/15. Объект находится: п. Сольветка. Есть возможность работать более чем вахта, соответственно оплата выше.Все вопросы по телефону 8 705 6069917улица Карла Маркса, 326","Әр түрлі машиналарды қауіпсіз басқару;
                                            



                                                Апатсыз жұмыс тәжірибесі;",Жауапкершілік;,
Өндірістік және қызметтік орындарын жинаушы,"1,5 ставка",Біліктілігі жоқ мамандықтар,85 000 тг. бастап,"Павлодар облысының білім беру басқармасы, Шарбақты ауданы білім беру бөлімінің «Заборовка негізгі жалпы білім беру мектебі» коммуналдық мемлекеттік мекемесі","Павлодар облысы, Шарбақты ауданы, Заборовка а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,,Өндірістік үй-жайларды жинау;,Жауапкершілік;,
Білім беруді ұйымдастырушы әлеуметтік педагог,Білім беруді ұйымдасытырушы әлеуметтік педагог,Білім беру және тәрбиелеу,от 150 000 до 180 000 тг.,"Түркістан облысының білім басқармасының Бәйдібек ауданының білім бөлімінің ""С.Ерубаев атындағы жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Түркістан облысы, Бәйдібек ауданы, Боралдай а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Ғылыми-зерттеу қызметі;
                                            



                                                Есептік құжаттаманы жасау және ресімдеу;
                                            



                                                Оқушыларды әлеуметтік қорғауды және бейімдеуді қамтамасыз ету;",Бейімділік;,
Іс қағаздарын жүргізуші,секретарь,HR және хатшылық,100 000 тг. бастап,"Шымкент қаласының білім басқармасының№61 ""Нұртас"" бөбекжай балабақшасы"" мемлекеттік коммуналдық қазыналық кәсіпорыны","Шымкент қ., Қаратау ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,жауакершілік,"Электрондық деректер қорын жүргізу;
                                            



                                                Құжаттаманы жүргізу және есептілікті қалыптастыру;
                                            



                                                Іс қағаздарын жүргізу;
                                            



                                                Кіріс және шығыс ақпаратты тіркеу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Ынтымақтастық және өзара іс-қимыл;",
Іс қағаздарын жүргізуші,секретарь,HR және хатшылық,100 000 тг. бастап,"Шымкент қаласының білім басқармасының№61 ""Нұртас"" бөбекжай балабақшасы"" мемлекеттік коммуналдық қазыналық кәсіпорыны","Шымкент қ., Қаратау ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,жауакершілік,"Электрондық деректер қорын жүргізу;
                                            



                                                Құжаттаманы жүргізу және есептілікті қалыптастыру;
                                            



                                                Іс қағаздарын жүргізу;
                                            



                                                Кіріс және шығыс ақпаратты тіркеу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Ынтымақтастық және өзара іс-қимыл;",
Фронталды жүктиегіш операторы,Оператор МКР,Өндіріс,250 000 тг. бастап,"""Павлодарсоль"" Жауапкершілігі шектеулі серіктестігі","Павлодар облысы, Екібастұз қ., Солнечный к.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,Все должностные обязанности и все интересующие вопросы  по указанным телефонам 8 7774502589,Тиеу-түсіру жұмыстары;,Жауапкершілік;,
Фармацевт (орта біліктілігі бар),фармацевт,Медицина және фармацевтика,200 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 12 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Бостандық ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Келіп түсетін дәрілік заттарды сұрыптау;
                                            



                                                Фармацевтика туралы жалпы білім;
                                            



                                                Дәрі-дәрмектер препаратын бақылау(фармацевтика);","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;",
Мейіргер (жалпы бейін),медицинская сестра,Медицина және фармацевтика,от 170 000 до 230 000 тг.,"""Маksat МеД"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Алатау ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,5,,,"Науқастарды үйде амбулаториялық қабылдау және қызмет көрсету;
                                            



                                                Дәрігерге дейінгі медициналық көмек көрсету;
                                            



                                                Емдеу-алдын алу көмегін көрсету;
                                            



                                                Алғашқы медициналық көмек көрсету;
                                            



                                                Пациентті емдеуге дайындау;
                                            



                                                Мейірбикелік күтім;",Жауапкершілік;,
Дәрігер-терапевт,,Медицина және фармацевтика,301 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 12 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны",Алматы  қ.,Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,2,,,"Білікті, жедел және басқа да медициналық көмек көрсету;
                                            



                                                Емдеу тағайындау және жүргізу, медициналық манипуляцияны орындау;",Жауапкершілік;,Орыс / жоғары деңгей
Дәрігер-гериатр,врач геронтолог,Медицина және фармацевтика,274 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 12 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Бостандық ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Медициналық құжаттаманы жүргізу;
                                            



                                                Алғашқы медициналық көмек көрсету;
                                            



                                                Диагноз қою және емдеуді жоспарлау;
                                            



                                                Диагностикалық, алдын алу және емдеу рәсімдерін жүргізу;
                                            



                                                Пациенттерді бақылау;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",
Аспаз,повар,Тұру және тамақтану,170 000 тг. бастап,"""Павлодарсоль"" Жауапкершілігі шектеулі серіктестігі","Павлодар облысы, Павлодар қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,"Опыт приготовление обеда, ужина. Все вопросы по телефону 8 776 9956145",умение готовить;,Дербестік және жауапкершілік;,
Іс қағаздарын жүргізуші,Делопроизводитель,HR және хатшылық,от 90 000 до 100 000 тг.,"Павлодар облысының білім беру басқармасы, Екібастұз қаласы білім беру бөлімінің ""№ 35 мектеп-гимназиясы"" коммуналдық мемлекеттік мекемесі","Павлодар облысы, Екібастұз қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Электрондық деректер қорын жүргізу;
                                            



                                                Құжаттаманы жүргізу және есептілікті қалыптастыру;
                                            



                                                Құжаттарды есепке алу және тіркеу;
                                            



                                                Іс қағаздарын жүргізу;
                                            



                                                Құжат айналымын ұйымдастыру;
                                            



                                                Кіріс және шығыс ақпаратты тіркеу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Күйзеліске тұрақтылық;",Қазақ / орташа деңгей
Геолог,Ведущий менеджер геолог,,85 000 тг. бастап,"""Тау-Кен Самұрық"" ұлттық тау-кен компаниясы"" акционерлік қоғамы",Астана қ.,5 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,,техникалық және кәсіби,08.05.2025 жарияланды,1,,"Обязанности:



Геологическое сопровождение1.1. Контролирует своевременное геологическое сопровождение действующих горных выработок и эксплоразведочных скважин;1.2. Контролирует изменение горно-геологических условий горных выработок;1.3. Участвует в работе опробования (химический анализ) проб;1.4. Проводит комплексное изучение геологической характеристики недра на контрактной территории;1.5. Координирует научно-исследовательские и тематические работы, связанные с геологией и недропользованием, выполняемые на территории рудника;1.6. Контролирует полное извлечение полезных ископаемых.

 Ведение базы данных 


1.1. Организует и пополняет базу данных;1.2. Контролирует корректность заполнения наименование проб;1.3. Проводит валидацию проб.

Контроль качества


3.1. Осуществляет ведомственный контроль за правильностью разработки месторождения, полезных ископаемых и пользования недрами;3.2. Координирует выполнение требований по охране недр и наиболее полного извлечения из недр основных и других совместно с ними залегающих полезных ископаемых;3.3. Организует выполнение мероприятий, обеспечивающих при проведении горных работ, безопасность для жизни и здоровья работников и населения, охраны окружающей среды, зданий, сооружений от вредного влияния этих работ;3.4. Контролирует качество крепления горных выработок;

 Составление 3Д модели рудных тел 


4.1. Проводит разбивку рудного тела по залежам;4.2. Ведет исправление каркасов рудных тел по мере поступления данных анализов проб;4.3. Проверяет правильность построения каркасов рудных тел при построении блочной модели;4.4. Проводит анализ изменения каркасов рудных тел.

Построение блочной модели (далее - БМ)


5.1. Выбирает и определяет подходящие параметры для построенияБМ;5.2. Ведет сравнение запасов прирост/урост рудных тел;5.3. Ведет подсчет запасов согласно стандартам ГКЗ и JORK;5.4. Ведет перерасчет блочной модели по мере исправления каркасоврудных тел. 

Построение контуров


6.1. Создает и проверяет контура рудных тел по горизонтам на планегорных работ, планах опробования и геологических разрезах;6.2. Ведет исправления контуров рудных тел по мере исправлениякаркасов;6.3. Выносит на план скважины эксплоразведочных работ. 

Выполнение плана горных работ


7.1. Выполняет сравнительные работы план-факт;7.2. Контролирует выполнение плана горных работ;7.3. Обеспечивает геоинформационными системными данными приразработке среднесрочных и долгосрочных проектов работ по руднику;7.4. Создает справки/отчеты по объему и содержанию качествадобытой руды;7.5. Выбирает и обосновывает наиболее перспективные участки для отработки месторождения.


8.2. Выносит скважины в режим 3Д для более полного контроля и анализа;8.3. Проверяет глубину проектных скважин для контроля за объемом плана работ буровых станков;8.4. Контролирует выполнение проектов эксплоразведочного бурения;8.5. Проверяет на геологических разрезах и планах выноску проектных скважин на бумажные носители.
Геологическая документация9.1. Участвует в составлении документации по горным выработкам и по земной поверхности;9.2. Участвует в составлении и пополнение геологической документации;9.3. Разрабатывает перспективные, годовые и квартальные планы развития горных работ, а также мероприятия по ведению горных работ вблизи и в пределах опасных зон совместно с работниками Общества;9.4. Пополняет все планы, разрезы, линии и профили в электронные версии AutoCAD, Micromine и на бумажные версии;9.5. Предоставляет все графические материалы рудника «Шалкия» компетентным органам и работникам Общества;9.6. Контролирует за пополнением всей технической документации в области геологии;

Формирование и сдача отчетности в компетентные органы


10.1. Участвует в консолидации, сдаче отчетов о выполнении лицензионно-контрактных условий (ЛКУ-1) в компетентные органы;10.2. Участвует в составлении, сдаче паспорта техногенно- минеральных образований (ТМО) и общераспространенных полезных ископаемых (ОПИ);10.3. Участвует в составлении, сдаче отчета о добытых твердых полезных ископаемых (ТПИ) и ОПИ;10.4. Участвует в консолидации и мониторинге состояния недр и подземных вод.
 

 Взаимодействие с внешними и внутренними стейкхолдерами 11.1. Взаимодействие и обмен информацией с местными исполнительными органами и другими государственными и негосударственными органами;11.2. Взаимодействие и обмен информацией со структурными подразделениями Общества;11.3. Предоставление отчетности местным исполнительным органам и государственным органам;11.4. Взаимодействие и обмен информацией с Подрядчиками Общества; 11.5. В рамках своей компетенции проводит встречи с представителями Подрядчиков Общества;Управление рисками и обеспечение антикоррупционныхдействий12.1. Контролирует своевременность и полноту идентификации рисковв рамках сферы деятельности;12.2. Выявляет возможные случаи возникновения риска, реальных илипотенциальных, отрицательных тенденций, свидетельствующих об усилении риска, анализ факторов, вызывающих риск, и оценка масштабов предполагаемого убытка:12.3. Ищет способы предупреждения риска и реагирования на них; 12.4. Проводит мониторинг выполнения мероприятий по устранению и снижению вероятности и нежелательных последствий рисков, информирует вышестоящего руководителя;12.5. Обеспечивает недопущение использования информации, доступ к которой предоставлен в связи с исполнением должностных обязанностей, в целях получения выгод, в том числе через посредников;12.6. Сообщает руководству о фактах коррупционных действий;12.7. Обеспечивает недопущение проявления взяточничества и коррупции в Службе. Требования:



Высшее профессиональное образование в области геологии
Предпочтительно сертификат ПО «Майкромайн»
Знание языков: Свободное владение государственным и русским языками
Знание Закона РК «Об акционерном обществе»; 
Знание Закона РК «О Фонде национального благосостояния»; 
Знание Кодекса РК «О недрах и недропользовании»; 
Знание нормативных правовых актов РК, регулирующие вопросы геологического изучения, использования и охраны недр и окружающей среды; 
Знание основ трудового кодекса РК; 
Знание основ правил охраны недр и окружающей среды; 
Знание степени геологической (геофизической, гидрогеологической) изученности района работ, состояние и перспективы развития минерально-сырьевой базы геологического района;
Знание технологии геологоразведочных (геофизических, гидрогеологических) работ и требования к качеству их проведения;
Знание порядка проектирования, планирования и финансирования геологоразведочных (геофизических, гидрогеологических) работ;

Условия:

Официальное трудоустройство;
Медицинская страховка;
Служебная развозка;
Обучение за счет работодателя;",,,
Дәрігер-педиатр,врач педиатр,Медицина және фармацевтика,от 300 000 до 350 000 тг.,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 3 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Алмалы ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Медициналық құжаттаманы жүргізу;
                                            



                                                Емдеу-алдын алу көмегін көрсету;
                                            



                                                Балалар мен жасөспірімдердің денсаулық жағдайын және дене дамуын бағалау;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;",
"Санитар, санитар әйел",санитарка,Медицина және фармацевтика,от 140 000 до 160 000 тг.,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 3 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Алмалы ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,2,,,"Жинау;
                                            



                                                Санитарлық нормалардың сақталуын бақылау;
                                            



                                                Зертханалық ыдыстарды жуу және зарарсыздандыру;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",
Мейіргер,,Медицина және фармацевтика,от 130 000 до 150 000 тг.,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 3 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны",Алматы  қ.,2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,3,,,"Науқастарды үйде амбулаториялық қабылдау және қызмет көрсету;
                                            



                                                Дәрігерге дейінгі медициналық көмек көрсету;
                                            



                                                Емдеу-алдын алу көмегін көрсету;
                                            



                                                Пациентті емдеуге дайындау;","Бейімділік;
                                        

                                            Ұқыптылық;",
Музыка мұғалімі,Учитель музыки,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,«Атырау облысы Білім беру басқармасының Атырау қаласы білім бөлімінің «№38 «Аққайың» бөбекжай-бақшасы» коммуналдық мемлекеттік қазыналық кәсіпорны,"Атырау облысы, Атырау қ.",1 жыл жұмыс өтілі,толық емес жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,,"Оқушылардың шығармашылық қабілеттерін дамыту;
                                            



                                                Заманауи технологиялар мен оқыту әдістемелерін меңгеру;
                                            



                                                Музыка теориясы мен сольфеджио негіздерін білу;","Жауапкершілік;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Жүйелі ойлау;",
Жалпы практика дәрігері,врач фильтра,Медицина және фармацевтика,от 250 000 до 270 000 тг.,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№ 3 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Емдеу-алдын алу іс-шаралар жоспарын орындау;
                                            



                                                Алғашқы дәрігерлік және шұғыл медициналық көмек көрсету;
                                            



                                                Амбулаториялық қабылдау, медициналық құжаттарды ресімдеу;
                                            



                                                Аурулардың диагностикасы, емдеу, алдын алу;","Бейімділік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",
Балалар психологы,в детском саду,Білім беру және тәрбиелеу,180 000 тг. бастап,"""Батыс Қазақстан облысы әкімдігі білім басқармасының Бөрлі ауданы білім беру бөлімінің ""Ақсай қаласының №10 ""Алтын бесік"" бөбекжайы"" мемлекеттік коммуналдық қазыналық кәсіпорны","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Оқушының психологиялық жағдайын бағалау;
                                            



                                                Іс жүргізу ауруларындағы қалыптасатын психикалық ақау құрылымының сипаттамасы;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Күйзеліске тұрақтылық;
                                        

                                            Шыдамдылық;",
Математика мұғалімі (алгебра және геометрия),Учитель,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,"""Алматы облысы білім басқармасының Талғар ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""№14 жалпы білім беретін орта мектебі"" коммуналдық мемлекеттік мекемесі","Алматы облысы, Талғар ауданы, Өстемір а.",3 жыл жұмыс өтілі,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,10,,,"Жұмыс оқытушы мен оқушы;
                                            



                                                Математикалық талдау;
                                            



                                                Сабақты үлгілеу;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;",
Зертханашы (біліктілігі орташа),лаборант,Ғылым және кеңес беру,от 100 000 до 120 000 тг.,"""Алматы облысы білім басқармасының Талғар ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""№14 жалпы білім беретін орта мектебі"" коммуналдық мемлекеттік мекемесі","Алматы облысы, Талғар ауданы, Өстемір а.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Зертханалық зерттеулер жүргізу;
                                            



                                                Зертханалық материалдардың жарамдылық мерзімдерін, тасымалдау, сақтау, кәдеге жарату тәсілдерін бақылау;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",
Инженер-программист,инженер по оборудованию,IT және телекоммуникациялар,от 128 870 до 188 048 тг.,"Қостанай облысы әкімдігі білім басқармасының ""Қостанай қызмет көрсету саласының колледжі"" коммуналдық мемлекеттік қазыналық кәсіпорны","Қостанай облысы, Қостанай қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,Аппараттық және бағдарламалық қамтамасыз етуге сервистік қызмет көрсету;,Жауапкершілік;,
Логопед,Учитель,Білім беру және тәрбиелеу,от 120 000 до 150 000 тг.,"""Алматы облысы білім басқармасының Талғар ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""№14 жалпы білім беретін орта мектебі"" коммуналдық мемлекеттік мекемесі","Алматы облысы, Талғар ауданы, Өстемір а.",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Ақаулардың пайда болу себептерін анықтау;
                                            



                                                Ерекше қажеттіліктері бар оқушылармен жұмыс;
                                            



                                                Оқушының психологиялық жағдайын бағалау;
                                            



                                                Мүгедектерге және мүмкіндігі шектеулі адамдарға көмек көрсету;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",Орыс / жоғары деңгей
Аула сыпырушы,дворник,ТКШ және абаттандыру,109 403 тг. бастап,"Қостанай облысы әкімдігі білім басқармасының ""Қостанай қызмет көрсету саласының колледжі"" коммуналдық мемлекеттік қазыналық кәсіпорны","Қостанай облысы, Қостанай қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,"уборка прилегающей к колледжу территории, очистка снега, листьев","қар шығару;
                                            



                                                Көшелерді тазарту;","физикалық күш;
                                        

                                            төзімділік (физикалық);
                                        

                                            аллергия болмауы;
                                        

                                            ыстыққа төзімділік;
                                        

                                            иістерге төзімділік;
                                        

                                            суыққа төзімділік;",
